,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
239,3  1997,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,12/31/2018,125,Somewhat clean,Very safe,Somewhat satisfied
239,4  2572,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,105,Somewhat clean,Somewhat safe,Neutral
239,5   266,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,175,Average,Neutral,Neutral
239,6  1039,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,245,Somewhat clean,Neutral,Neutral
239,7  2565,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,165,Clean,Very safe,Very satisfied
239,8  1692,Sunday,ALASKA,SANTA ANA,West US,Medium,Gates 50-59,12/31/2018,307,Somewhat dirty,Neutral,Neutral
239,9  1909,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,145,Clean,Somewhat safe,Very satisfied
240,0  3085,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,82,Somewhat clean,Somewhat safe,Somewhat satisfied
240,1  2643,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satisfied
240,2  2182,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,885,Clean,Very safe,Somewhat satisfied
240,3   793,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,165,Somewhat clean,Somewhat safe,Neutral
240,4  2188,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,150,Clean,Very safe,Very satisfied
240,5   493,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,296,Somewhat clean,Neutral,Very satisfied
240,6  2515,Friday,ALASKA,SALT LAKE CITY,West US,Medium,Gates 1-12,12/31/2018,240,Average,Somewhat unsafe,Neutral
240,8  2079,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,89,Somewhat clean,Somewhat safe,Neutral
240,9  2833,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,93,Clean,Somewhat safe,Somewhat satisfied
241,1  2722,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,195,Average,Somewhat safe,Somewhat satisfied
241,2  2097,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,12/31/2018,145,Somewhat clean,Somewhat safe,Somewhat satisfied
241,3  2101,Tuesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,91,Clean,Very safe,Very satisfied
241,4  2774,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,160,Somewhat clean,Neutral,Somewhat satisfied
241,5  2546,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,135,Somewhat clean,Somewhat safe,Somewhat satisfied
241,6  1733,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,150,Somewhat clean,Very safe,Somewhat satisfied
241,7   766,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,105,Somewhat clean,Neutral,Neutral
241,8   243,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,12/31/2018,80,Somewhat clean,Very safe,Very satisfied
242,0  2369,Tuesday,JETBLUE,FT. LAUDERDALE,East US,Large,Gates 1-12,12/31/2018,136,Clean,Very safe,Somewhat satisfied
242,1   709,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,185,Average,Very safe,Neutral
242,2  1999,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,12/31/2018,215,Clean,Very safe,Somewhat satisfied
242,3  2360,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,105,Average,Somewhat safe,Somewhat satisfied
242,4  1868,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,205,Somewhat clean,Very safe,Somewhat satisfied
242,5  2547,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,73,Clean,Somewhat safe,Very satisfied
242,6  3051,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,395,Average,Somewhat safe,Somewhat satisfied
242,7  2351,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,115,Clean,Very safe,Very satisfied
242,9   330,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,12/31/2018,156,Somewhat clean,Somewhat safe,Somewhat satisfied
243,1  2828,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,123,Clean,Very safe,Somewhat satisfied
243,2  2421,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,300,Clean,Very safe,Very satisfied
243,3  2404,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,250,Somewhat clean,Very safe,Somewhat satisfied
243,4   968,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satisfied
243,5  1823,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,85,Somewhat clean,Neutral,Somewhat satisfied
243,6  2155,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,125,Somewhat clean,Somewhat safe,Somewhat satisfied
243,7  1165,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Very safe,Somewhat satisfied
243,8   989,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,145,Clean,Very safe,Somewhat satisfied
243,9  1606,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,170,Clean,Somewhat safe,Somewhat satisfied
244,0  2179,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,270,Somewhat clean,Somewhat safe,Somewhat satisfied
244,1     6,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,140,Clean,Very safe,Very satisfied
244,2  2811,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,85,Somewhat clean,Neutral,Neutral
244,3  1709,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,300,Clean,Very safe,Somewhat satisfied
244,5  1464,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,120,Clean,Somewhat safe,Very satisfied
244,6  1852,Wednesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,110,Clean,Very safe,Very satisfied
244,8  2370,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,210,Somewhat clean,Very safe,Somewhat satisfied
244,9  2116,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,12/31/2018,220,Average,Somewhat safe,Somewhat satisfied
245,0  1848,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub,Gates 91-102,12/31/2018,135,Somewhat clean,Neutral,Somewhat satisfied
245,1   103,Tuesday,UNITED,WASHINGTON DC-DULLES,EAST US,Medium,Gates 70-90,12/31/2018,130,Somewhat clean,Very safe,Somewhat satisfied
245,2  2983,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,12/31/2018,105,Somewhat clean,Very safe,Somewhat satisfied
245,3  3140,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,105,Somewhat clean,Somewhat safe,Somewhat satisfied
245,4  2355,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satisfied
245,5  2803,Tuesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,90,Clean,Very safe,Somewhat satisfied
245,7  2305,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,195,Somewhat clean,Very safe,Neutral
245,8  1156,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,60,Somewhat clean,Somewhat safe,Neutral
245,9  1447,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,1/1/2018,209,Clean,Somewhat safe,Neutral
246,0   553,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,75,Somewhat clean,Somewhat safe,Somewhat satisfied
246,1  2927,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,195,Somewhat clean,Very safe,Somewhat satisfied
246,2  3003,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,328,Clean,Somewhat safe,Very satisfied
246,3  1128,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,165,Clean,Somewhat safe,Somewhat satisfied
246,4  3209,Tuesday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,12/31/2018,35,Average,Somewhat safe,Very unsatisfied
246,6   586,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,147,Somewhat clean,Very safe,Somewhat satisfied
246,7  1763,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,205,Clean,Very safe,Somewhat satisfied
246,8   275,Thursday,UNITED,LOS ANGELES,West US,Hub,Gates 70-90,12/31/2018,82,Average,Somewhat safe,Neutral
246,9  2587,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,127,Somewhat clean,Somewhat safe,Neutral
247,0   326,Thursday,UNITED,BURBANK,West US,Small,Gates 70-90,12/31/2018,100,Somewhat clean,Very safe,Somewhat satisfied
247,1   305,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satisfied
247,2  2373,Tuesday,JETBLUE,FT. LAUDERDALE,East US,Large,Gates 1-12,12/31/2018,121,Clean,Somewhat safe,Somewhat satisfied
247,3  1015,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,122,Average,Somewhat safe,Neutral
247,4   904,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,120,Average,Neutral,Neutral
247,5  2303,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,12/31/2018,120,Clean,Neutral,Somewhat satisfied
247,6   599,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,162,Average,Very safe,Neutral
247,7  1363,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,Hub,Gates 91-102,12/31/2018,195,Somewhat clean,Very safe,Somewhat satisfied
247,8  1715,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,105,Clean,Somewhat safe,Somewhat satisfied
247,9  1565,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,12/31/2018,90,Average,Somewhat safe,Somewhat satisfied
248,0  2441,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satisfied
248,1   428,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,353,Somewhat clean,Somewhat safe,Somewhat satisfied
248,2  1842,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub,Gates 91-102,12/31/2018,255,Average,Neutral,Somewhat satisfied
248,3   877,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,85,Somewhat clean,Very safe,Very satisfied
248,4  1589,Thursday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,110,Clean,Somewhat safe,Very satisfied
248,5   850,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,145,Somewhat clean,Somewhat safe,Somewhat satisfied
248,6  3241,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,12/31/2018,95,Clean,Very safe,Somewhat satisfied
248,7  1819,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,190,Somewhat clean,Very safe,Somewhat satisfied
248,9  2915,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,12/31/2018,145,Somewhat clean,Very safe,Neutral
249,0  1095,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,255,Somewhat clean,Very safe,Somewhat satisfied
249,1  1993,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,12/31/2018,95,Clean,Very safe,Somewhat satisfied
249,2  1267,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,30,Average,Neutral,Somewhat satisfied
249,3  2233,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,200,Somewhat clean,Somewhat safe,Somewhat satisfied
249,4  1309,Thursday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,12/31/2018,96,Average,Somewhat safe,Somewhat satisfied
249,5   517,Sunday,UNITED,FT. LAUDERDALE,EAST US,Large,Gates 60-69,12/31/2018,105,Clean,Very safe,Very satisfied
249,6   615,Tuesday,ALASKA,WASHINGTON DC-DULLES,EAST US,Medium,Gates 50-59,12/31/2018,245,Clean,Very safe,Very satisfied
249,7  2350,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,95,Somewhat clean,Very safe,Very satisfied
249,8  3027,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,65,Average,Somewhat safe,Somewhat satisfied
250,1  2174,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,133,Somewhat clean,Very safe,Very satisfied
250,2  1089,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Somewhat safe,Somewhat satisfied
250,3  1539,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,110,Clean,Very safe,Very satisfied
250,4   528,Thursday,ALASKA,PUERTO VALLARTA,Canada/Mexico,Small,Gates 50-59,12/31/2018,90,Somewhat clean,Somewhat safe,Somewhat satisfied
250,5   474,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,12/31/2018,861,Somewhat clean,Somewhat safe,Somewhat satisfied
250,6  1204,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,75,Somewhat clean,Very safe,Somewhat satisfied
250,7   892,Tuesday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,12/31/2018,205,Somewhat clean,Very safe,Somewhat satisfied
250,8  2601,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,97,Clean,Very safe,Neutral
250,9  1846,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub,Gates 91-102,12/31/2018,145,Clean,Somewhat safe,Somewhat satisfied
251,0   628,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,125,Clean,Very safe,Very satisfied
251,1  2156,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,128,Somewhat clean,Somewhat safe,Neutral
251,2  2175,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,93,Clean,Somewhat safe,Somewhat satisfied
251,3  1867,Tuesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satisfied
251,4   457,Sunday,ALASKA,LAS VEGAS,West US,Hub,Gates 50-59,12/31/2018,150,Clean,Very safe,Very satisfied
251,7  1063,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,355,Average,Neutral,Neutral
251,8  1183,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,85,Average,Very safe,Neutral
251,9  1943,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Very safe,Neutral
252,0  1619,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,125,Somewhat clean,Somewhat safe,Neutral
252,1  2923,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,12/31/2018,45,Average,Neutral,Somewhat satisfied
252,2  1327,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,12/31/2018,200,Clean,Very safe,Somewhat satisfied
252,3  3031,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,110,Clean,Very safe,Somewhat satisfied
252,5   796,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,130,Clean,Very safe,Somewhat satisfied
252,6   255,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,235,Clean,Very safe,Very satisfied
252,7  1871,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,65,Somewhat clean,Very safe,Neutral
252,8  2591,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,117,Clean,Somewhat safe,Somewhat satisfied
252,9  3137,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,90,Somewhat clean,Somewhat safe,Somewhat satisfied
253,0  2076,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,59,Somewhat clean,Somewhat safe,Somewhat satisfied
253,1   489,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,208,Somewhat clean,Very safe,Very satisfied
253,2  2419,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,12/31/2018,155,Clean,Very safe,Somewhat satisfied
253,3  2910,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,141,Somewhat clean,Somewhat safe,Somewhat satisfied
253,5  2513,Saturday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied
253,6  2002,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Very safe,Very satisfied
253,7  3274,Tuesday,UNITED,LAS VEGAS,West US,Hub,Gates 70-90,12/31/2018,130,Somewhat clean,Somewhat safe,Very satisfied
253,8  1224,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,55,Average,Somewhat safe,Neutral
253,9   924,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,180,Clean,Very safe,Neutral
254,1  3197,Sunday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,1/1/2018,180,Clean,Very safe,Somewhat satisfied
254,3  1781,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied
254,4  3077,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,217,Somewhat clean,Very safe,Very satisfied
254,5   606,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,132,Clean,Somewhat safe,Neutral
254,6  1412,Saturday,UNITED,KANSAS CITY,Midwest US,Medium,Gates 70-90,12/31/2018,270,Average,Somewhat safe,Neutral
254,7  2699,Tuesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,170,Average,Neutral,Somewhat satisfied
254,8  2792,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,125,Somewhat clean,Very safe,Somewhat satisfied
254,9   296,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,62,Clean,Very safe,Very satisfied
255,0  2819,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,160,Somewhat clean,Somewhat safe,Somewhat satisfied
255,1  1869,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,12/31/2018,205,Somewhat clean,Very safe,Somewhat satisfied
255,2  1778,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satisfied
255,3  1545,Thursday,DELTA,NEW YORK-JFK,EAST US,Hub,Gates 40-48,12/31/2018,405,Average,Neutral,Neutral
255,4  2746,Thursday,DELTA,ATLANTA,EAST US,Hub,Gates 40-48,12/31/2018,30,Clean,Very safe,Very satisfied
255,5   669,Thursday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,105,Average,Somewhat safe,Somewhat satisfied
255,7   984,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,175,Clean,Very safe,Somewhat satisfied
255,8  1111,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,165,Clean,Somewhat safe,Somewhat satisfied
255,9  2253,Wednesday,WOW,REYKJAVIK,eur,Small,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Neutral
256,0  3285,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,12/31/2018,65,Clean,Neutral,Very satisfied
256,1  2559,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,135,Clean,Very safe,Very satisfied
256,3  1332,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,12/31/2018,125,Somewhat clean,Very safe,Neutral
256,4   525,Thursday,ALASKA,PUERTO VALLARTA,Canada/Mexico,Small,Gates 50-59,12/31/2018,180,Average,Somewhat safe,Somewhat satisfied
256,5  2365,Tuesday,JETBLUE,FT. LAUDERDALE,East US,Large,Gates 1-12,12/31/2018,121,Somewhat clean,Somewhat safe,Somewhat satisfied
256,6   867,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,145,Somewhat clean,Neutral,Somewhat satisfied
256,7   392,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,60,Clean,Very safe,Somewhat satisfied
256,8  2401,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,12/31/2018,175,Average,Neutral,Somewhat satisfied
256,9  1122,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satisfied
257,1  2176,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,153,Average,Very safe,Neutral
257,2  2522,Friday,ALASKA,SALT LAKE CITY,West US,Medium,Gates 1-12,12/31/2018,390,Clean,Somewhat safe,Somewhat satisfied
257,3  2594,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,135,Somewhat clean,Somewhat safe,Somewhat satisfied
257,4  2140,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,245,Somewhat clean,Somewhat safe,Somewhat satisfied
257,5  2087,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,169,Clean,Very safe,Very satisfied
257,6  1207,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,175,Somewhat clean,Somewhat safe,Neutral
257,7   581,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,102,Clean,Very safe,Somewhat satisfied
257,8  2855,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,12/31/2018,67,Somewhat clean,Very safe,Somewhat satisfied
257,9  2450,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,169,Average,Very safe,Neutral
258,0  2900,Sunday,WOW,REYKJAVIK,eur,Small,Gates 1-12,12/31/2018,145,Somewhat clean,Somewhat safe,Neutral
258,1  2163,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,213,Clean,Very safe,Somewhat satisfied
258,2  2817,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,130,Somewhat clean,Neutral,Neutral
258,3  1655,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,315,Average,Somewhat safe,Somewhat unsatisfied
258,4   608,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,132,Somewhat clean,Somewhat safe,Somewhat satisfied
258,5  2757,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,330,Somewhat clean,Neutral,Somewhat satisfied
258,7  1365,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,Hub,Gates 91-102,12/31/2018,195,Somewhat clean,Somewhat safe,Somewhat satisfied
258,8  2141,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,153,Clean,Somewhat safe,Very satisfied
258,9  1800,Monday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,185,Clean,Very safe,Very satisfied
259,0  3143,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,75,Somewhat clean,Very safe,Somewhat satisfied
259,1  2378,Tuesday,JETBLUE,FT. LAUDERDALE,East US,Large,Gates 1-12,12/31/2018,101,Somewhat clean,Very safe,Somewhat satisfied
259,2   197,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,130,Somewhat clean,Somewhat safe,Very satisfied
259,3  1288,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,380,Somewhat clean,Very safe,Somewhat satisfied
259,4   287,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,12/31/2018,584,Somewhat clean,Somewhat safe,Somewhat satisfied
259,5   409,Sunday,UNITED,HOUSTON-BUSH,Midwest US,Hub,Gates 70-90,12/31/2018,72,Somewhat clean,Somewhat safe,Somewhat satisfied
259,6  1680,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,182,Clean,Very safe,Very satisfied
259,7   736,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,215,Somewhat clean,Somewhat safe,Somewhat satisfied
259,8  1040,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,295,Clean,Very safe,Very satisfied
259,9  1995,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,12/31/2018,125,Average,Somewhat safe,Neutral
260,0   889,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,330,Clean,Very safe,Somewhat satisfied
260,1   626,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Very satisfied
260,2  1188,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,60,Clean,Very safe,Very satisfied
260,3  2124,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,124,Clean,Very safe,Somewhat satisfied
